PUMFID,TBC_05A,TBC_05BR,TBC_10AR,TBC_10BR,TBC_15,TBC_20R,TBC_25QR,TBC_30AR,TBC_30BR,TBC_30CR,TBC_30DR,TBC_30ER,TBC_30FR,TBC_30GR,TBC_35,TBC_40,TBC_41A,TBC_41BR,TBC_45AR,TBC_45B,TBC_45F,TBC_45GR,TBC_50R,OTP_05AR,OTP_05BR,OTP_05CR,OTP_05DR,OTP_05ER,VAP_05AR,VAP_05BR,VAP_10R,VAP_15AR,VAP_15BR,VAP_15CR,VAP_20R,VAP_21R,VAP_30R,VAP_35R,VAP_40A,VAP_40BR,VAP_40HR,VAP_41A,VAP_41BR,VAP_41IR,VAP_45R,VAP_60,CAN_05A,CAN_05BR,CAN_10A,CAN_10BR,CAN_15AR,CAN_15BR,CAN_17R,CAN_20A,CAN_20BR,CAN_25AR,CAN_25BR,CAN_30AR,CAN_30BR,CAN_30CR,CAN_30G,IU_05R,ALC_05,ALC_10R,GENDER,AGEGROUP,PROV_C,ED_05R,INDFLGR,PGDVFLR,SORFLGR,LTC_10R,GEN_01,GEN_05,DV_SS,DV_SSB,DV_VC30,DV_VC30B,DV_VP30R,DVCAN30B,DVVP30BR,FIRSTTRR,CIGWAVR,DV_ALC30,DV_CAN30,WTPP,VERDATE
68601,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,7,1,2,35,9,9,9,9,2,2,3,3,4,2,3,2,3,3,6,96,1,2,1792.5966,11SEP2023
68602,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,5,1,6,99,99,3,1,1,4,1,2,2,1,2,2,1,1,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,3,4,7,2,5,59,2,2,1,2,2,3,3,2,3,2,3,1,3,1,1,96,2,2,4451.6322,11SEP2023
68603,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,7,35,3,2,9,9,2,3,2,2,3,2,3,2,3,3,1,96,2,2,4292.4047,11SEP2023
68604,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,6,2,4,1,7,12,1,2,2,2,2,3,2,3,4,2,3,2,3,3,3,96,1,2,1395.9539,11SEP2023
68605,1,2,1,6,1,6,96,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,1,3,6,1,6,35,2,2,2,2,2,2,2,1,1,2,3,2,3,3,1,3,1,2,9734.909,11SEP2023
68606,1,2,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,3,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,1,2,4,96,6,96,2,1,4,3,6,2,1,2,1,1,2,4,2,2,35,9,9,9,9,2,3,4,3,4,2,3,2,3,3,3,96,1,2,1964.0873,11SEP2023
68607,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,4,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,6,2,5,35,2,2,2,2,2,1,1,3,4,2,3,2,3,3,6,96,1,2,7427.8441,11SEP2023
68608,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,5,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,1,35,9,9,9,9,2,1,2,3,4,2,3,2,3,3,6,96,2,2,1383.0381,11SEP2023
68609,1,3,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,99,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,1,3,6,2,6,47,2,2,2,2,2,3,3,2,3,2,3,2,3,3,9,96,1,2,1883.5077,11SEP2023
68610,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,2,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,1,2,3,1,1,1,1,1,3,2,1,2,1,2,2,2,3,5,1,1,46,9,9,9,9,2,2,3,3,4,1,2,2,2,3,2,96,1,1,575.5753,11SEP2023
68611,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,2,4,1,6,24,2,2,2,2,2,1,1,3,4,2,3,2,3,3,6,96,1,2,4966.7539,11SEP2023
68612,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,6,1,1,59,9,9,9,9,2,3,3,3,4,2,3,2,3,3,6,96,2,2,884.4005,11SEP2023
68613,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,4,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,7,2,6,35,3,2,2,2,2,1,1,3,4,2,3,2,3,3,6,96,1,2,4475.9392,11SEP2023
68614,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,2,2,2,0,0,1,1,2,1,2,1,2,2,2,1,2,2,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,7,2,2,59,9,9,9,9,2,2,3,3,4,2,3,1,3,2,2,96,1,2,894.0625,11SEP2023
68615,1,2,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,2,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,1,2,4,96,6,96,1,1,4,3,6,2,2,2,1,2,3,4,2,2,47,9,9,9,9,2,3,4,3,4,2,3,2,3,3,1,96,1,2,603.9011,11SEP2023
68616,1,2,4,6,1,2,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,2,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,1,2,5,1,2,24,9,9,9,9,2,1,1,2,3,2,3,2,3,3,1,96,1,2,997.8882,11SEP2023
68617,1,4,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,4,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,7,59,2,2,2,2,2,2,1,3,4,2,3,2,3,3,1,96,2,2,6131.8968,11SEP2023
68618,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,1,59,9,9,9,9,2,1,1,3,4,2,3,2,3,3,6,96,2,2,643.1978,11SEP2023
68619,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,7,1,7,12,3,2,2,2,2,2,1,2,3,2,3,2,3,3,1,96,1,2,1126.0889,11SEP2023
68620,1,2,2,1,2,6,96,0,0,0,0,0,0,0,1,6,6,6,6,6,6,6,6,4,4,4,4,4,1,7,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,1,4,3,1,2,96,2,1,7,3,6,2,2,1,2,1,1,1,1,7,13,1,2,2,2,2,2,2,1,2,2,3,2,2,3,1,1,1,1,945.7537,11SEP2023
68621,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,3,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,1,4,4,96,6,96,2,2,96,6,6,6,6,6,6,6,2,6,1,3,24,2,2,2,2,2,3,2,3,4,2,3,2,3,3,3,96,1,2,3736.8404,11SEP2023
68622,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,1,46,9,9,9,9,2,2,2,3,4,2,3,2,3,3,6,96,2,2,574.3499,11SEP2023
68623,1,2,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,4,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,5,1,7,35,1,2,2,2,2,3,3,3,4,2,3,2,3,3,1,96,1,2,3262.6598,11SEP2023
68624,1,2,1,6,1,6,96,5,5,5,5,5,5,5,3,2,6,6,1,2,1,2,1,4,4,4,4,4,1,7,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,1,1,1,2,6,35,2,2,2,2,2,3,5,1,1,2,3,2,3,3,1,2,1,2,4475.9392,11SEP2023
68625,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,7,35,2,2,2,2,2,4,4,2,3,2,3,2,3,3,1,96,2,2,3555.3386,11SEP2023
68626,1,1,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,2,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,1,2,4,96,6,96,2,1,3,3,6,2,2,2,1,1,2,6,1,2,35,9,9,9,9,2,2,2,2,3,2,3,2,3,3,1,96,1,2,1787.7906,11SEP2023
68627,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,6,12,2,2,2,2,2,3,1,3,4,2,3,2,3,3,6,96,2,2,996.3374,11SEP2023
68628,1,3,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,1,3,4,96,6,96,2,2,96,6,6,6,6,6,6,1,4,7,2,6,11,3,2,2,2,2,1,1,3,4,2,3,2,3,3,1,96,2,2,367.998,11SEP2023
68629,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,7,35,1,2,1,2,2,2,2,3,4,2,3,2,3,3,6,96,2,2,2698.3897,11SEP2023
68630,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,5,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,7,35,2,2,2,2,1,1,1,3,4,2,3,2,3,3,6,96,2,2,5454.9934,11SEP2023
68631,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,9,9,9,9,9,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,9,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,7,2,7,46,1,2,2,2,2,3,2,2,3,2,3,2,3,3,1,96,1,2,851.7792,11SEP2023
68632,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,1,2,35,9,9,9,9,2,1,2,3,4,2,3,2,3,3,6,96,2,2,1769.5441,11SEP2023
68633,1,1,2,1,1,6,96,0,0,0,0,1,0,0,1,6,6,6,6,6,6,6,6,4,4,4,4,4,1,4,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,1,1,4,96,6,96,2,2,96,6,6,6,6,6,6,1,2,5,2,4,24,3,2,2,1,2,3,3,1,2,2,3,2,3,3,1,1,1,2,7569.8739,11SEP2023
68634,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,2,5,2,7,24,3,2,2,1,2,2,2,2,3,2,3,2,3,3,1,96,1,2,5524.1883,11SEP2023
68635,1,2,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,1,3,6,1,5,35,2,2,2,2,2,2,2,3,4,2,3,2,3,3,1,96,1,2,4901.19,11SEP2023
68636,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,7,59,3,2,2,2,2,5,1,3,4,2,3,2,3,3,6,96,2,2,2895.1247,11SEP2023
68637,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,4,1,4,47,2,2,1,2,2,2,1,3,4,2,3,2,3,3,6,96,1,2,2670.4884,11SEP2023
68638,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,1,12,9,9,9,9,2,3,3,3,4,2,3,2,3,3,6,96,2,2,470.9179,11SEP2023
68639,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,5,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,6,12,2,2,2,9,2,2,2,3,4,2,3,2,3,3,6,96,2,2,644.1977,11SEP2023
68640,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,1,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,5,12,3,2,2,2,2,2,2,2,3,2,3,2,3,3,1,96,2,2,1344.8806,11SEP2023
68641,1,1,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,1,2,2,2,4,48,3,2,2,2,2,2,2,3,4,2,3,2,3,3,1,96,1,2,5111.7486,11SEP2023
68642,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,7,48,1,2,1,2,2,3,3,3,4,2,3,2,3,3,6,96,2,2,3640.3559,11SEP2023
68643,1,1,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,1,1,4,96,6,96,1,1,7,2,5,2,2,1,2,1,2,5,2,6,12,3,2,2,1,1,4,3,2,3,1,2,2,3,3,1,96,1,2,2265.6349,11SEP2023
68644,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,7,1,2,59,9,9,9,9,2,3,5,3,4,2,3,2,3,3,6,96,1,2,960.5512,11SEP2023
68645,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,7,2,1,59,9,9,9,9,2,2,3,3,4,2,3,2,3,3,6,96,1,2,720.8692,11SEP2023
68646,1,3,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,2,7,1,7,24,3,2,2,2,2,4,2,2,3,2,3,2,3,3,1,96,1,2,5039.7326,11SEP2023
68647,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,4,2,99,3,99,1,1,9,3,2,1,2,2,1,2,1,2,1,4,4,96,6,96,2,1,5,2,3,1,2,2,2,3,2,4,1,3,35,3,2,2,2,2,1,1,3,4,1,2,1,3,2,3,96,1,2,8519.1915,11SEP2023
68648,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,6,47,2,2,2,2,1,4,1,3,4,2,3,2,3,3,6,96,2,2,1614.0485,11SEP2023
68649,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,1,35,9,9,9,9,2,1,1,3,4,2,3,2,3,3,6,96,2,2,1366.6742,11SEP2023
68650,1,3,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,7,10,1,2,2,2,2,3,3,3,4,2,3,2,3,3,1,96,2,2,599.2107,11SEP2023
68651,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,6,2,2,24,9,9,9,9,2,4,4,3,4,2,3,2,3,3,6,96,2,2,883.6207,11SEP2023
68652,1,2,1,6,1,6,96,2,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,1,4,1,7,59,1,2,2,2,2,2,2,1,1,2,3,2,3,3,1,3,1,2,5267.3914,11SEP2023
68653,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,5,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,6,2,7,35,2,2,2,2,2,3,2,3,4,2,3,2,3,3,6,96,1,2,3259.75,11SEP2023
68654,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,4,1,2,4,96,6,96,1,2,96,6,6,6,6,6,6,6,1,2,1,6,35,2,2,2,2,2,2,3,3,4,2,3,2,3,3,3,96,1,2,4998.4515,11SEP2023
68655,1,2,2,3,1,6,96,1,1,0,1,0,1,0,1,6,6,6,6,6,6,6,6,4,4,4,4,4,1,2,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,1,3,7,1,1,24,9,9,9,9,2,1,2,1,2,2,3,2,3,3,1,1,1,2,687.259,11SEP2023
68656,1,3,1,6,1,6,96,5,5,5,5,5,5,5,1,6,6,6,6,6,6,6,6,4,4,4,4,4,1,3,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,1,3,1,96,2,96,2,1,4,3,6,2,2,2,1,1,2,6,1,2,35,9,9,9,9,2,2,2,1,1,2,3,2,1,3,1,2,1,1,1788.5581,11SEP2023
68657,1,3,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,3,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,3,2,7,1,2,59,9,9,9,9,2,2,2,3,4,2,3,2,3,3,3,96,1,2,930.3221,11SEP2023
68658,1,4,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,1,4,4,96,6,96,2,2,96,6,6,6,6,6,6,1,4,6,2,4,35,3,2,1,2,2,1,1,3,4,2,3,2,3,3,3,96,2,2,4219.5233,11SEP2023
68659,1,3,1,6,1,6,96,2,2,3,3,2,2,2,1,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,2,3,1,6,13,1,2,2,2,2,2,2,1,1,2,3,2,3,3,1,3,1,2,737.3654,11SEP2023
68660,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,6,3,6,1,2,59,9,9,9,9,2,4,4,3,4,2,3,2,3,3,3,96,1,2,943.4337,11SEP2023
68661,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,1,46,9,9,9,9,2,2,3,3,4,2,3,2,3,3,6,96,2,2,417.7195,11SEP2023
68662,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,1,2,4,96,6,96,1,2,96,6,6,6,6,6,6,6,3,6,1,2,11,9,9,9,9,2,1,4,3,4,2,3,2,3,3,3,96,1,2,241.1138,11SEP2023
68663,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,4,48,3,2,1,2,2,1,1,3,4,2,3,2,3,3,6,96,2,2,3882.8223,11SEP2023
68664,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,3,6,1,1,59,9,9,9,9,2,2,2,3,4,2,3,2,3,3,6,96,1,2,618.6727,11SEP2023
68665,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,8,3,96,96,96,6,6,96,6,6,6,6,6,6,6,9,5,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,1,6,2,7,48,1,2,2,2,2,2,1,3,4,2,3,2,3,3,2,96,1,2,3040.5651,11SEP2023
68666,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,7,2,6,47,1,2,2,2,2,4,3,3,4,2,3,2,3,3,6,96,2,2,1010.7674,11SEP2023
68667,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,7,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,6,2,7,1,7,59,2,2,2,2,2,2,2,3,4,2,3,2,3,3,3,96,1,2,3288.8006,11SEP2023
68668,1,3,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,3,2,1,0,0,1,1,10,3,2,2,1,2,2,1,1,2,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,1,2,4,2,2,35,9,9,9,9,2,2,4,3,4,2,3,1,3,2,1,96,1,2,1842.6093,11SEP2023
68669,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,5,2,96,6,96,6,96,2,2,96,6,6,6,6,6,6,6,4,6,2,7,11,1,2,2,2,2,3,3,2,3,2,3,2,3,3,1,96,2,2,154.9705,11SEP2023
68670,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,3,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,6,2,6,1,5,24,3,2,2,2,2,1,1,3,4,2,3,2,3,3,3,96,1,2,6500.4914,11SEP2023
68671,1,2,4,6,1,3,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,9,96,96,96,6,6,96,6,6,6,6,6,6,6,9,2,1,2,4,96,6,96,2,2,96,6,6,6,6,6,6,1,3,4,1,5,24,3,2,2,1,2,2,3,2,3,2,3,2,3,3,1,96,1,2,6264.7235,11SEP2023
